video_id,title,publish_date,duration_sec,views,subscribers,revenue,impressions,ctr,week_start
qF64jZrFMUA,"Why AI Still Feels Built for Tech, Not People.","Aug 22, 2025",2192,5,0,0.011,493,1.01,2026-02-06
0kxvtPn7rIk,"#23 - Susan Wolfe - UX Pioneer: 40 Years Experience: NASA, IBM & Silicon Valley","Jan 30, 2023",3052,4,0,0.0,64,3.13,2026-02-06
n-Qq-47pDZA,"#02 - Dianne Eberhardt—Design, Travel, Entrepreneurship and The Future of Design","Aug 4, 2022",2670,4,0,0.048,38,5.26,2026-02-06
sHQjk5BGr94,"#17 - Yorbi Barriento Lopez - Starting in Graphic Design, the UX boom & Friends of Figma","Dec 2, 2022",2513,4,0,0.0,56,3.57,2026-02-06
CQrI63q5WEU,"Pochi Garcia Orsi | The Designer’s Mindset: Embracing Change, Collaboration, and Mental Health","Mar 27, 2023",3483,3,0,0.0,98,1.02,2026-02-06
ImKJktagRO0,Testing Cursor's new browser feature 🔥,"Jan 15, 2026",54,3,0,0.0,31,3.23,2026-02-06
NgNfxgLdmxc,"Reinvention Isn’t a Choice Anymore, It’s a Survival Skill","Sep 18, 2025",2560,3,0,0.004,614,0.16,2026-02-06
ck4wvr2wTOU,"AI Knows Everything About Me, But Nothing About Design","Aug 15, 2025",1127,3,0,0.015,266,0.75,2026-02-06
rspcuRkaghE,FoF Buenos Aires - Como la AI esta transformando las experiencias digitales,"Dec 21, 2023",3304,3,0,0.0,152,0.66,2026-02-06
vC-BGZ6_vwY,Unlimited Design Services | No Need to Hire,"Oct 22, 2024",22,3,0,0.0,180,1.11,2026-02-06
-AzAxF8s18Q,"#10 - Delfi Bertolotti - Learning To Say No, Importance of Feedback & Journey to Become Snr Designer","Sep 28, 2022",3074,2,0,0.0,43,4.65,2026-02-06
FXEPWgdWkbA,Your Design Partner | Building Lasting Relationships,"Oct 22, 2024",22,2,0,0.0,8,0.0,2026-02-06
J-CYn4J4Uvc,"Denisse Crapanzano | Remote Work Wonders: Challenges, new tools & collaboration","May 8, 2023",2860,2,0,0.007,75,1.33,2026-02-06
1xVKfzrixWk,#24 Adnan Puzić - From College Dropout to Conquering the UX Design World,"Feb 6, 2023",3294,1,0,0.0,62,1.61,2026-02-06
9XiSj-Tl1Gw,"The Future of Design Isn’t Faster Tools, It’s Better Ideas.","Sep 1, 2025",2328,1,0,0.0,489,0.0,2026-02-06
AGpwipPEKwM,#05 - Anthony Conta - Career Changer: From Bootcamp Grad to Senior Product Designer at Amazon Music,"Aug 26, 2022",2411,1,0,0.0,47,2.13,2026-02-06
KQnuFiR84H4,Behind the Scenes of ‘The Art and Science of UX Design’: A Chat with Anthony Conta,"Jul 17, 2023",2564,1,0,0.006,110,0.0,2026-02-06
TCe0Tmjkbfw,#18 - Andrea Monsalve - The Adventure of Hosting a UX podcast,"Dec 9, 2022",2200,1,0,0.0,65,1.54,2026-02-06
TjgeBC0hLuQ,#21 - Ritika Singh - Design Thinking 101: Practical Strategies for Success,"Jan 13, 2023",2599,1,0,0.001,76,0.0,2026-02-06
WX6AkpduE5Y,"Justin Dauer | Design Journeys: Connection, Fulfillment, and Shaping the Future","Jul 3, 2023",2811,1,0,0.0,95,1.05,2026-02-06
Wi16VoRWtrI,FAQ | Ace your next Design Interview: tips and tricks,"Apr 17, 2023",1335,1,0,0.0,67,0.0,2026-02-06
YkpJeurQu_c,I Built My Entire Design System in 4 Hours With AI (Claude + Cursor + Figma) #designengineering,"Jan 9, 2026",38,1,0,0.0,145,0.69,2026-02-06
Zkgy2YOUyRE,#16 - Wesley Chambers - The Importance of Working With Passion,"Nov 25, 2022",2330,1,0,0.0,46,0.0,2026-02-06
_OFnuxoC6-g,"#26 - Nicolas Chériot: ""UX is all about brain, heart, pen and paper""","Feb 20, 2023",3098,1,0,0.0,84,0.0,2026-02-06
hpfR1dxMz8U,"It Isn’t About The Method, It’s About Making It Yours.","Sep 9, 2025",1741,1,0,0.0,558,0.18,2026-02-06
ivBUDgIxbfg,#04 - Elena Haskins - 0 to 100: From Jr. Designer to Founding UX Design Studio & Mentorship Program,"Aug 19, 2022",3606,1,0,0.004,49,2.04,2026-02-06
kV2GiMOVSEo,FAQ | Soft Skills: The Pathway to Senior Designers,"May 22, 2023",562,1,0,0.0,81,1.23,2026-02-06
l7aCT4T5V7w,Building my entire design system with AI: Building a Component Library,"Jan 9, 2026",168,1,0,0.0,58,0.0,2026-02-06
nuwvkGlrR8Y,Need a UI/UX redesign?,"Oct 22, 2024",24,1,0,0.0,13,0.0,2026-02-06
o5pBhCthwsw,Motion Design Workshop: LottieFiles para Figma!,"Sep 20, 2024",8067,1,0,0.0,170,0.0,2026-02-06
q8M-pmLfKIw,Mansoor Siddiqui | Unlocking Success Through User Research,"Apr 24, 2023",2625,1,0,0.0,87,1.15,2026-02-06
0PcFLPRmlwY,Ariel Ibañez | Design Education Evolution: Bridging the Gap,"Apr 10, 2023",2197,0,0,0.0,63,0.0,2026-02-06
2aDAfI_BGc4,FAQ | How to deal with clients that…,"May 15, 2023",684,0,0,0.0,76,0.0,2026-02-06
3lGI-NlpbPA,Minjun Chen | Navigating Challenges as an International Student: A Designer’s Story,"May 29, 2023",2895,0,0,0.0,84,0.0,2026-02-06
8WuwDPPf4vA,Need a UI/UX redesign?,"Oct 22, 2024",24,0,0,0.0,156,0.0,2026-02-06
9RDgfAvsO4U,"#06 - Laura Hedeen - Opening a Preschool in Israel, Beginnings at TDP & Becoming a Product Designer","Sep 2, 2022",3001,0,0,0.0,44,0.0,2026-02-06
9yP8leGrzoI,"Freelance vs Full-Time 101: Pros, Cons, and How to Decide","Apr 3, 2023",1192,0,0,0.0,68,0.0,2026-02-06
AXXYvIdEfCY,Your Design Partner | Building Lasting Relationships,"Oct 22, 2024",22,0,0,0.0,176,0.0,2026-02-06
DUN7VgGr_Mk,FAQ Embracing Design Thinking: Dianne's Guide to User Empathy and Problem-Solving,"Jul 24, 2023",824,0,0,0.0,105,0.0,2026-02-06
Dn3VNSgOK2Q,"#08 - Patricio Torello - Studying in SCAD, Team Communication, & How To Keep Fresh Design Knowledge","Sep 22, 2022",3145,0,0,0.0,42,0.0,2026-02-06
